[0921/095759:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/123253:INFO:CONSOLE(419)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (419)
[0921/123317:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123317:INFO:CONSOLE(418)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (418)
[0921/123317:INFO:CONSOLE(419)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (419)
[0921/123337:INFO:CONSOLE(138)] "Uncaught TypeError: Cannot read property 'style' of null", source: http://192.168.1.107:8020/%e5%b9%b3%e5%8f%b0%e5%95%86%e5%9f%8e/index.html (138)
[0921/123406:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123406:INFO:CONSOLE(418)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (418)
[0921/123406:INFO:CONSOLE(419)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (419)
[0921/123409:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123409:INFO:CONSOLE(477)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (477)
[0921/123409:INFO:CONSOLE(478)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (478)
[0921/123422:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123422:INFO:CONSOLE(418)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (418)
[0921/123422:INFO:CONSOLE(419)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (419)
[0921/123459:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123459:INFO:CONSOLE(477)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (477)
[0921/123459:INFO:CONSOLE(478)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (478)
[0921/123522:INFO:CONSOLE(138)] "Uncaught TypeError: Cannot read property 'style' of null", source: http://192.168.1.107:8020/%e5%b9%b3%e5%8f%b0%e5%95%86%e5%9f%8e/index.html (138)
[0921/123532:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123532:INFO:CONSOLE(477)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (477)
[0921/123532:INFO:CONSOLE(478)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (478)
[0921/123539:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123539:INFO:CONSOLE(490)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (490)
[0921/123539:INFO:CONSOLE(491)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123545:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/123613:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123613:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123613:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123620:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123620:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123620:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123631:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123631:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123631:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123634:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123634:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123634:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123638:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/123704:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123704:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123704:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123709:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123709:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123709:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123734:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123734:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123734:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123737:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123737:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123737:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123750:INFO:CONSOLE(138)] "Uncaught TypeError: Cannot read property 'style' of null", source: http://192.168.1.107:8020/%e5%b9%b3%e5%8f%b0%e5%95%86%e5%9f%8e/index.html (138)
[0921/123752:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123752:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123752:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123815:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/123825:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123825:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123825:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123834:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/123912:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123912:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123912:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123917:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123917:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123917:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/123923:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123923:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/123923:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/125245:WARNING:dns_config_service_win.cc(653)] Failed to read DnsConfig.
[0921/125246:WARNING:dns_config_service_win.cc(653)] Failed to read DnsConfig.
